EventSensor_ns,RowType,Source_Index,Source_SensorTimestamp_ns,Sink_Index,Sink_SensorTimestamp_ns,Sink_SensorTimestamp_Corrected_ns,TimeDifference_ns,TimeDifference_ms
7244426754000,MATCHED,72,7244426754000,72,8832643130000,7244426751000,3000,0.003000
7244460072000,MATCHED,73,7244460072000,73,8832676448000,7244460069000,3000,0.003000
7244493393000,MATCHED,74,7244493393000,74,8832709767000,7244493388000,5000,0.005000
7244526713000,MATCHED,75,7244526713000,75,8832743085000,7244526706000,7000,0.007000
7244560029000,MATCHED,76,7244560029000,76,8832776404000,7244560025000,4000,0.004000
7244593353000,MATCHED,77,7244593353000,77,8832809722000,7244593343000,10000,0.010000
7244626679000,MATCHED,78,7244626679000,78,8832843041000,7244626662000,17000,0.017000
7244659996000,MATCHED,79,7244659996000,79,8832876359000,7244659980000,16000,0.016000
7244693307000,MATCHED,80,7244693307000,80,8832909677000,7244693298000,9000,0.009000
7244726625000,MATCHED,81,7244726625000,81,8832942997000,7244726618000,7000,0.007000
7244759947000,MATCHED,82,7244759947000,82,8832976315000,7244759936000,11000,0.011000
7244793256000,MATCHED,83,7244793256000,83,8833009633000,7244793254000,2000,0.002000
7244826574000,MATCHED,84,7244826574000,84,8833042952000,7244826573000,1000,0.001000
7244859895000,MATCHED,85,7244859895000,85,8833076270000,7244859891000,4000,0.004000
7244893212000,MATCHED,86,7244893212000,86,8833109588000,7244893209000,3000,0.003000
7244926531000,MATCHED,87,7244926531000,87,8833142907000,7244926528000,3000,0.003000
7244959852000,MATCHED,88,7244959852000,88,8833176225000,7244959846000,6000,0.006000
7244993170000,MATCHED,89,7244993170000,89,8833209543000,7244993164000,6000,0.006000
7245026494000,MATCHED,90,7245026494000,90,8833242862000,7245026483000,11000,0.011000
7245059821000,MATCHED,91,7245059821000,91,8833276180000,7245059801000,20000,0.020000
7245093142000,MATCHED,92,7245093142000,92,8833309499000,7245093120000,22000,0.022000
7245126461000,MATCHED,93,7245126461000,93,8833342817000,7245126438000,23000,0.023000
